IMO No,Class No,Ship Name,MoU,Ship Risk Profile,Inspection Selection Scheme,Last Periodical Survey,Update Date
9768942,1600168,PAN FORTUNE,Tokyo,Standard,No Priority,2025-09-15,2025-09-15
9770531,1700012,GAS UTOPIA,USCG,PSC B,Priority I,2025-05-22,2025-09-15
9770531,1700012,GAS UTOPIA,Paris,Standard,Priority I,2025-05-22,2025-09-15
9770531,1700012,GAS UTOPIA,Tokyo,Standard,Priority I,2025-05-22,2025-09-15
9772010,1700007,PACIFIC ANNA,USCG,PSC B,Priority I,2025-01-31,2025-09-15
9772010,1700007,PACIFIC ANNA,Paris,Standard,No Priority,2025-01-31,2025-09-15
9772010,1700007,PACIFIC ANNA,Tokyo,Low,No Priority,2025-01-31,2025-09-15
9772022,1700023,PACIFIC RAWAN,USCG,PSC B,Priority I,2025-06-05,2025-09-15
9772022,1700023,PACIFIC RAWAN,Paris,Standard,Priority I,2025-06-05,2025-09-15
9772022,1700023,PACIFIC RAWAN,Tokyo,Low,Priority I,2025-06-05,2025-09-15
9772034,1700035,PACIFIC SARAH,USCG,PSC C,No Priority,2025-06-05,2025-09-15
9772034,1700035,PACIFIC SARAH,Paris,Standard,No Priority,2025-06-05,2025-09-15
9772034,1700035,PACIFIC SARAH,Tokyo,Standard,Priority I,2025-06-05,2025-09-15
9772046,1700048,PACIFIC JULIA,USCG,PSC B,Priority I,2025-08-12,2025-09-15
9772046,1700048,PACIFIC JULIA,Paris,Standard,No Priority,2025-08-12,2025-09-15
9772046,1700048,PACIFIC JULIA,Tokyo,Low,Priority II,2025-08-12,2025-09-15
9772058,1700058,PACIFIC DEBBIE,USCG,PSC B,Priority I,2025-09-10,2025-09-15
9772058,1700058,PACIFIC DEBBIE,Paris,Standard,No Priority,2025-09-10,2025-09-15
9772058,1700058,PACIFIC DEBBIE,Tokyo,Standard,Priority I,2025-09-10,2025-09-15
9772060,1800001,PACIFIC MARTINA,USCG,PSC B,Priority I,2025-08-31,2025-09-15
9772060,1800001,PACIFIC MARTINA,Paris,Standard,Priority I,2025-08-31,2025-09-15
9772060,1800001,PACIFIC MARTINA,Tokyo,Standard,No Priority,2025-08-31,2025-09-15
9774197,1700056,GAS VENUS,USCG,PSC C,No Priority,2025-06-15,2025-09-15
9774197,1700056,GAS VENUS,Paris,Standard,No Priority,2025-06-15,2025-09-15
9774197,1700056,GAS VENUS,Tokyo,Standard,Priority I,2025-06-15,2025-09-15
9775828,1700104,SILVER RAY,USCG,PSC B,Priority I,2024-12-11,2025-09-15
9775828,1700104,SILVER RAY,Paris,Standard,No Priority,2024-12-11,2025-09-15
9775828,1700104,SILVER RAY,Tokyo,Standard,Priority I,2024-12-11,2025-09-15
9776133,1700118,SLOMAN HESTIA,USCG,PSC B,Priority I,2025-07-25,2025-09-15
9776133,1700118,SLOMAN HESTIA,Paris,Standard,No Priority,2025-07-25,2025-09-15
9776133,1700118,SLOMAN HESTIA,Tokyo,Standard,Priority I,2025-07-25,2025-09-15
9780627,1700028,MORNING PEACE,USCG,PSC B,Priority I,2025-08-18,2025-09-15
9780627,1700028,MORNING PEACE,Paris,Standard,Priority I,2025-08-18,2025-09-15
9780627,1700028,MORNING PEACE,Tokyo,Low,No Priority,2025-08-18,2025-09-15
9780639,1700060,MORNING PROSPERITY,USCG,PSC B,Priority I,2025-06-11,2025-09-15
9780639,1700060,MORNING PROSPERITY,Paris,Standard,No Priority,2025-06-11,2025-09-15
9780639,1700060,MORNING PROSPERITY,Tokyo,Low,No Priority,2025-06-11,2025-09-15
9781188,1700099,KMTC TAIPEIS,USCG,PSC B,Priority I,2025-07-05,2025-09-15
9781188,1700099,KMTC TAIPEIS,Paris,Standard,Priority I,2025-07-05,2025-09-15
9781188,1700099,KMTC TAIPEIS,Tokyo,Standard,No Priority,2025-07-05,2025-09-15
9782326,1700112,WOOYANG IVY,USCG,PSC B,No Priority,2025-09-04,2025-09-15
9782326,1700112,WOOYANG IVY,Paris,Standard,No Priority,2025-09-04,2025-09-15
9782326,1700112,WOOYANG IVY,Tokyo,Standard,No Priority,2025-09-04,2025-09-15
9783758,1700092,HANBANDO,USCG,PSC B,Priority I,2024-12-20,2025-09-15
9783758,1700092,HANBANDO,Paris,Standard,Priority I,2024-12-20,2025-09-15
9783758,1700092,HANBANDO,Tokyo,Standard,Priority I,2024-12-20,2025-09-15
9783899,1800112,ASP AVANA,USCG,PSC B,Priority I,2025-09-13,2025-09-15
9783899,1800112,ASP AVANA,Paris,Standard,Priority I,2025-09-13,2025-09-15
9783899,1800112,ASP AVANA,Tokyo,Low,No Priority,2025-09-13,2025-09-15
9785603,1700022,FARAH LOUISE,USCG,PSC B,Priority I,2025-05-31,2025-09-15
9785603,1700022,FARAH LOUISE,Paris,Standard,No Priority,2025-05-31,2025-09-15
9785603,1700022,FARAH LOUISE,Tokyo,Standard,No Priority,2025-05-31,2025-09-15
9785615,1700046,ESTELA CLAIRE,USCG,PSC B,Priority I,2025-05-15,2025-09-15
9785615,1700046,ESTELA CLAIRE,Paris,Standard,Priority I,2025-05-15,2025-09-15
9785615,1700046,ESTELA CLAIRE,Tokyo,Standard,No Priority,2025-05-15,2025-09-15
9786231,1700032,SM OSPREY,USCG,PSC C,No Priority,2025-05-02,2025-09-15
9786231,1700032,SM OSPREY,Paris,Standard,Priority II,2025-05-02,2025-09-15
9786231,1700032,SM OSPREY,Tokyo,Standard,No Priority,2025-05-02,2025-09-15
9786243,1700057,SM FALCON,USCG,PSC C,No Priority,2025-06-21,2025-09-15
9786243,1700057,SM FALCON,Paris,Standard,Priority I,2025-06-21,2025-09-15
9786243,1700057,SM FALCON,Tokyo,Standard,Priority I,2025-06-21,2025-09-15
9786580,1600151,DONGBANG GIANT NO.7,USCG,PSC B,Priority I,2025-09-08,2025-09-15
9786580,1600151,DONGBANG GIANT NO.7,Paris,Standard,No Priority,2025-09-08,2025-09-15
9786580,1600151,DONGBANG GIANT NO.7,Tokyo,Standard,Priority I,2025-09-08,2025-09-15
9788875,1700030,CARIBBEAN GLORY,USCG,PSC C,No Priority,2025-06-06,2025-09-15
9788875,1700030,CARIBBEAN GLORY,Paris,Standard,No Priority,2025-06-06,2025-09-15
9788875,1700030,CARIBBEAN GLORY,Tokyo,Low,Priority II,2025-06-06,2025-09-15
9788887,1700043,GULF SUNRISE,USCG,PSC B,Priority I,2025-04-23,2025-09-15
9788887,1700043,GULF SUNRISE,Paris,Standard,Priority I,2025-04-23,2025-09-15
9788887,1700043,GULF SUNRISE,Tokyo,Low,Priority I,2025-04-23,2025-09-15
9788992,1700013,GAS WISDOM,USCG,PSC B,Priority I,2025-07-17,2025-09-15
9788992,1700013,GAS WISDOM,Paris,Standard,Priority I,2025-07-17,2025-09-15
9788992,1700013,GAS WISDOM,Tokyo,Standard,Priority I,2025-07-17,2025-09-15
9789257,1800094,ATLANTIC FALCON,USCG,PSC B,Priority I,2025-09-15,2025-09-15
9789257,1800094,ATLANTIC FALCON,Paris,Low,No Priority,2025-09-15,2025-09-15
9789257,1800094,ATLANTIC FALCON,Tokyo,Low,No Priority,2025-09-15,2025-09-15
9789269,1900015,ATLANTIC GUARD,USCG,PSC B,Priority I,2025-04-06,2025-09-15
9789269,1900015,ATLANTIC GUARD,Paris,Standard,No Priority,2025-04-06,2025-09-15
9789269,1900015,ATLANTIC GUARD,Tokyo,Low,Priority II,2025-04-06,2025-09-15
9792498,1700059,STARSHIP TAURUS,USCG,PSC B,Priority I,2025-04-30,2025-09-15
9792498,1700059,STARSHIP TAURUS,Paris,Standard,Priority I,2025-04-30,2025-09-15
9792498,1700059,STARSHIP TAURUS,Tokyo,Low,No Priority,2025-04-30,2025-09-15
9792503,1700087,STARSHIP AQUILA,USCG,PSC B,Priority I,2025-06-14,2025-09-15
9792503,1700087,STARSHIP AQUILA,Paris,Standard,Priority I,2025-06-14,2025-09-15
9792503,1700087,STARSHIP AQUILA,Tokyo,Low,No Priority,2025-06-14,2025-09-15
9792515,1700072,TRAMMO PARIS,USCG,PSC B,Priority I,2025-08-18,2025-09-15
9792515,1700072,TRAMMO PARIS,Paris,Standard,Priority II,2025-08-18,2025-09-15
9792515,1700072,TRAMMO PARIS,Tokyo,Standard,Priority I,2025-08-18,2025-09-15
9793301,1600120,KEUM YANG 1,USCG,PSC B,Priority I,2024-08-19,2025-09-15
9793301,1600120,KEUM YANG 1,Paris,Standard,Priority I,2024-08-19,2025-09-15
9793301,1600120,KEUM YANG 1,Tokyo,Standard,No Priority,2024-08-19,2025-09-15
9793313,1600121,KEUM YANG 2,USCG,PSC B,Priority I,2024-11-28,2025-09-15
9793313,1600121,KEUM YANG 2,Paris,Standard,Priority I,2024-11-28,2025-09-15
9793313,1600121,KEUM YANG 2,Tokyo,Standard,No Priority,2024-11-28,2025-09-15
9793325,1700009,KEUM YANG 3,USCG,PSC B,Priority I,2025-03-30,2025-09-15
9793325,1700009,KEUM YANG 3,Paris,Standard,Priority I,2025-03-30,2025-09-15
9793325,1700009,KEUM YANG 3,Tokyo,Standard,No Priority,2025-03-30,2025-09-15
9793337,1700018,KEUM YANG 5,USCG,PSC B,Priority I,2025-05-10,2025-09-15
9793337,1700018,KEUM YANG 5,Paris,Standard,Priority I,2025-05-10,2025-09-15
9793337,1700018,KEUM YANG 5,Tokyo,Standard,No Priority,2025-05-10,2025-09-15
9793351,1700054,KEUM YANG 7,USCG,PSC B,Priority I,2025-09-16,2025-09-15
9793351,1700054,KEUM YANG 7,Paris,Standard,Priority I,2025-09-16,2025-09-15
9793351,1700054,KEUM YANG 7,Tokyo,Standard,No Priority,2025-09-16,2025-09-15
9794812,1700073,V. TRUST,USCG,PSC B,Priority I,2025-09-02,2025-09-15
9794812,1700073,V. TRUST,Paris,Standard,Priority I,2025-09-02,2025-09-15
9794812,1700073,V. TRUST,Tokyo,Low,Priority II,2025-09-02,2025-09-15
9794824,1700111,UNIVERSAL GLORY,USCG,PSC B,Priority I,2025-08-18,2025-09-15
9794824,1700111,UNIVERSAL GLORY,Paris,Standard,Priority I,2025-08-18,2025-09-15
9794824,1700111,UNIVERSAL GLORY,Tokyo,Low,Priority II,2025-08-18,2025-09-15
9795543,1700081,GAS ZENITH,USCG,PSC C,No Priority,2025-08-22,2025-09-15
9795543,1700081,GAS ZENITH,Paris,Standard,Priority I,2025-08-22,2025-09-15
9795543,1700081,GAS ZENITH,Tokyo,Standard,No Priority,2025-08-22,2025-09-15
9796028,1600092,JS JIANGYIN,USCG,PSC B,Priority I,2025-08-20,2025-09-15
9796028,1600092,JS JIANGYIN,Paris,Standard,Priority I,2025-08-20,2025-09-15
9796028,1600092,JS JIANGYIN,Tokyo,High,No Priority,2025-08-20,2025-09-15
9796561,1700109,KLEISOURA,USCG,PSC B,Priority I,2025-04-09,2025-09-15
9796561,1700109,KLEISOURA,Paris,Standard,No Priority,2025-04-09,2025-09-15
9796561,1700109,KLEISOURA,Tokyo,High,No Priority,2025-04-09,2025-09-15
9797864,1800014,G. DOLCE,USCG,PSC C,No Priority,2025-05-02,2025-09-15
9797864,1800014,G. DOLCE,Paris,Standard,Priority I,2025-05-02,2025-09-15
9797864,1800014,G. DOLCE,Tokyo,High,Priority I,2025-05-02,2025-09-15
9797876,1800026,G. SPIRIT,USCG,PSC B,Priority I,2025-07-04,2025-09-15
9797876,1800026,G. SPIRIT,Paris,Standard,Priority I,2025-07-04,2025-09-15
9797876,1800026,G. SPIRIT,Tokyo,High,Priority I,2025-07-04,2025-09-15
9798090,1800002,KEOYOUNG STAR 3,USCG,PSC B,Priority I,2025-03-22,2025-09-15
9798090,1800002,KEOYOUNG STAR 3,Paris,Standard,Priority I,2025-03-22,2025-09-15
9798090,1800002,KEOYOUNG STAR 3,Tokyo,Standard,No Priority,2025-03-22,2025-09-15
9798387,1700050,GLOVIS SONIC,USCG,PSC C,No Priority,2025-08-11,2025-09-15
9798387,1700050,GLOVIS SONIC,Paris,Standard,Priority I,2025-08-11,2025-09-15
9798387,1700050,GLOVIS SONIC,Tokyo,Standard,Priority II,2025-08-11,2025-09-15
9798399,1700062,GLOVIS SAFETY,USCG,PSC B,Priority I,2025-08-28,2025-09-15
9798399,1700062,GLOVIS SAFETY,Paris,Standard,Priority I,2025-08-28,2025-09-15
9798399,1700062,GLOVIS SAFETY,Tokyo,Standard,No Priority,2025-08-28,2025-09-15
9798404,1700077,GLOVIS SKY,USCG,PSC B,Priority I,2025-08-10,2025-09-15
9798404,1700077,GLOVIS SKY,Paris,Standard,Priority I,2025-08-10,2025-09-15
9798404,1700077,GLOVIS SKY,Tokyo,Standard,No Priority,2025-08-10,2025-09-15
9798416,1700107,GLOVIS SUNLIGHT,USCG,PSC C,No Priority,2025-05-30,2025-09-15
9798416,1700107,GLOVIS SUNLIGHT,Paris,Standard,No Priority,2025-05-30,2025-09-15
9798416,1700107,GLOVIS SUNLIGHT,Tokyo,Standard,Priority I,2025-05-30,2025-09-15
9798935,1800020,ATLANTIC JOURNEY,USCG,PSC C,No Priority,2025-08-25,2025-09-15
9798935,1800020,ATLANTIC JOURNEY,Paris,Standard,Priority I,2025-08-25,2025-09-15
9798935,1800020,ATLANTIC JOURNEY,Tokyo,Low,No Priority,2025-08-25,2025-09-15
9798959,1800023,ATLANTIC MARBLE,USCG,PSC C,No Priority,2025-06-01,2025-09-15
9798959,1800023,ATLANTIC MARBLE,Paris,Standard,No Priority,2025-06-01,2025-09-15
9798959,1800023,ATLANTIC MARBLE,Tokyo,Low,Priority II,2025-06-01,2025-09-15
9799446,1700036,TAIHAI 1,USCG,PSC B,Priority I,2025-05-20,2025-09-15
9799446,1700036,TAIHAI 1,Paris,Low,No Priority,2025-05-20,2025-09-15
9799446,1700036,TAIHAI 1,Tokyo,Low,Priority I,2025-05-20,2025-09-15
9802011,1700014,DONGJIN VOYAGER,USCG,PSC B,Priority I,2025-01-06,2025-09-15
9802011,1700014,DONGJIN VOYAGER,Paris,Standard,Priority I,2025-01-06,2025-09-15
9802011,1700014,DONGJIN VOYAGER,Tokyo,Standard,No Priority,2025-01-06,2025-09-15
9802023,1700041,PANCON CHAMPION,USCG,PSC B,Priority I,2025-03-27,2025-09-15
9802023,1700041,PANCON CHAMPION,Paris,Standard,Priority I,2025-03-27,2025-09-15
9802023,1700041,PANCON CHAMPION,Tokyo,Low,No Priority,2025-03-27,2025-09-15
9802970,1600146,CY INTEROCEAN I,USCG,PSC B,Priority I,2025-09-15,2025-09-15
9802970,1600146,CY INTEROCEAN I,Paris,Standard,Priority II,2025-09-15,2025-09-15
9802970,1600146,CY INTEROCEAN I,Tokyo,Low,Priority I,2025-09-15,2025-09-15
9802982,1700034,CY INTEROCEAN Ⅱ,USCG,PSC B,Priority I,2025-09-10,2025-09-15
9802982,1700034,CY INTEROCEAN Ⅱ,Paris,Standard,No Priority,2025-09-10,2025-09-15
9802982,1700034,CY INTEROCEAN Ⅱ,Tokyo,Standard,Priority I,2025-09-10,2025-09-15
9803156,1600100,ZENITH VEGA,USCG,PSC B,Priority I,2025-08-12,2025-09-15
9803156,1600100,ZENITH VEGA,Paris,Standard,Priority I,2025-08-12,2025-09-15
9803156,1600100,ZENITH VEGA,Tokyo,Standard,No Priority,2025-08-12,2025-09-15
9803338,1600134,ZENITH SILVER,USCG,PSC B,Priority I,2024-09-02,2025-09-15
9803338,1600134,ZENITH SILVER,Paris,Standard,Priority I,2024-09-02,2025-09-15
9803338,1600134,ZENITH SILVER,Tokyo,Standard,Priority II,2024-09-02,2025-09-15
9803352,1800110,ATLANTIC AFFINITY,USCG,PSC B,Priority I,2025-07-03,2025-09-15
9803352,1800110,ATLANTIC AFFINITY,Paris,Standard,Priority I,2025-07-03,2025-09-15
9803352,1800110,ATLANTIC AFFINITY,Tokyo,Standard,No Priority,2025-07-03,2025-09-15
9804459,1800003,NEW VISION,USCG,PSC C,No Priority,2025-06-17,2025-09-15
9804459,1800003,NEW VISION,Paris,Standard,No Priority,2025-06-17,2025-09-15
9804459,1800003,NEW VISION,Tokyo,Standard,Priority I,2025-06-17,2025-09-15
9804461,1800004,FREUD,USCG,PSC B,Priority I,2025-01-30,2025-09-15
9804461,1800004,FREUD,Paris,Low,No Priority,2025-01-30,2025-09-15
9804461,1800004,FREUD,Tokyo,High,Priority I,2025-01-30,2025-09-15
9805116,1800044,YN YEOSU,USCG,PSC B,Priority I,2025-08-18,2025-09-15
9805116,1800044,YN YEOSU,Paris,Standard,Priority I,2025-08-18,2025-09-15
9805116,1800044,YN YEOSU,Tokyo,Standard,Priority I,2025-08-18,2025-09-15
9805300,1800093,YN BUSAN,USCG,PSC B,Priority I,2024-08-23,2025-09-15
9805300,1800093,YN BUSAN,Paris,Standard,Priority I,2024-08-23,2025-09-15
9805300,1800093,YN BUSAN,Tokyo,Low,No Priority,2024-08-23,2025-09-15
9805685,1900087,PAN NAVIGATOR,USCG,PSC B,Priority I,2025-05-25,2025-09-15
9805685,1900087,PAN NAVIGATOR,Paris,Standard,No Priority,2025-05-25,2025-09-15
9805685,1900087,PAN NAVIGATOR,Tokyo,Standard,No Priority,2025-05-25,2025-09-15
9807231,1800070,ARA,USCG,PSC B,Priority I,2025-09-10,2025-09-15
9807231,1800070,ARA,Paris,Standard,Priority I,2025-09-10,2025-09-15
9807231,1800070,ARA,Tokyo,Standard,Priority I,2025-09-10,2025-09-15
9807243,1800105,SAE HAE RIM,USCG,PSC B,Priority I,2024-11-21,2025-09-15
9807243,1800105,SAE HAE RIM,Paris,Standard,Priority I,2024-11-21,2025-09-15
9807243,1800105,SAE HAE RIM,Tokyo,Standard,Priority I,2024-11-21,2025-09-15
9807255,1900006,SAE DONG BAEK HO,USCG,PSC B,Priority I,2025-02-17,2025-09-15
9807255,1900006,SAE DONG BAEK HO,Paris,Standard,Priority I,2025-02-17,2025-09-15
9807255,1900006,SAE DONG BAEK HO,Tokyo,Standard,Priority I,2025-02-17,2025-09-15
9807267,1800106,SEGERO,USCG,PSC B,Priority I,2025-01-07,2025-09-15
9807267,1800106,SEGERO,Paris,Standard,Priority I,2025-01-07,2025-09-15
9807267,1800106,SEGERO,Tokyo,Standard,Priority I,2025-01-07,2025-09-15
9807279,1900012,HANNARA,USCG,PSC B,Priority I,2025-08-21,2025-09-15
9807279,1900012,HANNARA,Paris,Standard,Priority I,2025-08-21,2025-09-15
9807279,1900012,HANNARA,Tokyo,Standard,Priority I,2025-08-21,2025-09-15
9808857,1700089,GOLDEN SUNNY HANA,USCG,PSC B,Priority I,2024-12-24,2025-09-15
9808857,1700089,GOLDEN SUNNY HANA,Paris,Standard,Priority I,2024-12-24,2025-09-15
9808857,1700089,GOLDEN SUNNY HANA,Tokyo,Standard,Priority I,2024-12-24,2025-09-15
9809643,1700093,DUKE CHEMIST,USCG,PSC B,Priority I,2024-12-11,2025-09-15
9809643,1700093,DUKE CHEMIST,Paris,Standard,Priority I,2024-12-11,2025-09-15
9809643,1700093,DUKE CHEMIST,Tokyo,Standard,No Priority,2024-12-11,2025-09-15
9809655,1800012,E CHEMIST,USCG,PSC B,Priority I,2025-07-26,2025-09-15
9809655,1800012,E CHEMIST,Paris,Standard,Priority I,2025-07-26,2025-09-15
9809655,1800012,E CHEMIST,Tokyo,Standard,No Priority,2025-07-26,2025-09-15
9809667,1800037,FALCON CHEMIST,USCG,PSC B,Priority I,2025-05-19,2025-09-15
9809667,1800037,FALCON CHEMIST,Paris,Standard,Priority I,2025-05-19,2025-09-15
9809667,1800037,FALCON CHEMIST,Tokyo,Standard,No Priority,2025-05-19,2025-09-15
9810549,1900020,PRISM AGILITY,USCG,PSC B,Priority I,2025-05-30,2025-09-15
9810549,1900020,PRISM AGILITY,Paris,Standard,No Priority,2025-05-30,2025-09-15
9810549,1900020,PRISM AGILITY,Tokyo,Standard,Priority I,2025-05-30,2025-09-15
9810551,1900029,PRISM BRILLIANCE,USCG,PSC C,No Priority,2025-04-07,2025-09-15
9810551,1900029,PRISM BRILLIANCE,Paris,Standard,Priority I,2025-04-07,2025-09-15
9810551,1900029,PRISM BRILLIANCE,Tokyo,High,Priority I,2025-04-07,2025-09-15
9811098,1700071,TAIHAI 3,USCG,PSC B,Priority I,2024-11-09,2025-09-15
9811098,1700071,TAIHAI 3,Paris,Standard,Priority I,2024-11-09,2025-09-15
9811098,1700071,TAIHAI 3,Tokyo,High,No Priority,2024-11-09,2025-09-15
9813254,1800057,NEW GOLDEN BRIDGE Ⅶ,USCG,PSC B,Priority I,2025-02-14,2025-09-15
9813254,1800057,NEW GOLDEN BRIDGE Ⅶ,Paris,Standard,Priority I,2025-02-14,2025-09-15
9813254,1800057,NEW GOLDEN BRIDGE Ⅶ,Tokyo,High,No Priority,2025-02-14,2025-09-15
9814064,1800060,WOO HYUK,USCG,PSC B,Priority I,2025-01-30,2025-09-15
9814064,1800060,WOO HYUK,Paris,Standard,Priority I,2025-01-30,2025-09-15
9814064,1800060,WOO HYUK,Tokyo,High,No Priority,2025-01-30,2025-09-15
9814105,1800006,SULFUR ADVANCE,USCG,PSC B,Priority I,2025-03-05,2025-09-15
9814105,1800006,SULFUR ADVANCE,Paris,Standard,Priority I,2025-03-05,2025-09-15
9814105,1800006,SULFUR ADVANCE,Tokyo,High,No Priority,2025-03-05,2025-09-15
9814624,1700017,TY JOY,USCG,PSC B,Priority I,2025-02-18,2025-09-15
9814624,1700017,TY JOY,Paris,Standard,Priority I,2025-02-18,2025-09-15
9814624,1700017,TY JOY,Tokyo,Standard,No Priority,2025-02-18,2025-09-15
9814636,1700040,TY HAPPY,USCG,PSC B,Priority I,2025-05-14,2025-09-15
9814636,1700040,TY HAPPY,Paris,Standard,Priority I,2025-05-14,2025-09-15
9814636,1700040,TY HAPPY,Tokyo,Standard,Priority II,2025-05-14,2025-09-15
9814648,1700042,WOOYANG CLOVER,USCG,PSC B,Priority I,2025-05-01,2025-09-15
9814648,1700042,WOOYANG CLOVER,Paris,Standard,Priority I,2025-05-01,2025-09-15
9814648,1700042,WOOYANG CLOVER,Tokyo,Standard,No Priority,2025-05-01,2025-09-15
9816244,1800022,GOLDEN BRIDGE HANA,USCG,PSC B,Priority I,2025-05-20,2025-09-15
9816244,1800022,GOLDEN BRIDGE HANA,Paris,Standard,Priority I,2025-05-20,2025-09-15
9816244,1800022,GOLDEN BRIDGE HANA,Tokyo,Standard,Priority II,2025-05-20,2025-09-15
9819442,1800103,RISING SAMBU,USCG,PSC B,Priority I,2025-03-04,2025-09-15
9819442,1800103,RISING SAMBU,Paris,Standard,Priority I,2025-03-04,2025-09-15
9819442,1800103,RISING SAMBU,Tokyo,Standard,No Priority,2025-03-04,2025-09-15
9820714,1800109,AMYLA,USCG,PSC B,Priority I,2024-12-04,2025-09-15
9820714,1800109,AMYLA,Paris,Standard,Priority I,2024-12-04,2025-09-15
9820714,1800109,AMYLA,Tokyo,Low,No Priority,2024-12-04,2025-09-15
9821847,1800038,KOREA VENUS,USCG,PSC B,Priority I,2025-04-07,2025-09-15
9821847,1800038,KOREA VENUS,Paris,Standard,Priority I,2025-04-07,2025-09-15
9821847,1800038,KOREA VENUS,Tokyo,Standard,Priority I,2025-04-07,2025-09-15
9822255,1800063,SAO DIANA,USCG,PSC B,Priority I,2025-08-04,2025-09-15
9822255,1800063,SAO DIANA,Paris,Standard,Priority I,2025-08-04,2025-09-15
9822255,1800063,SAO DIANA,Tokyo,Standard,No Priority,2025-08-04,2025-09-15
9822267,1800100,SAO EBBA,USCG,PSC B,Priority I,2025-08-11,2025-09-15
9822267,1800100,SAO EBBA,Paris,Standard,Priority I,2025-08-11,2025-09-15
9822267,1800100,SAO EBBA,Tokyo,Standard,Priority I,2025-08-11,2025-09-15
9822279,1900010,SAO FABIAN,USCG,PSC B,Priority I,2025-07-03,2025-09-15
9822279,1900010,SAO FABIAN,Paris,Standard,Priority I,2025-07-03,2025-09-15
9822279,1900010,SAO FABIAN,Tokyo,Standard,Priority I,2025-07-03,2025-09-15
9824033,1900021,SAO GRACE,USCG,PSC B,Priority I,2025-05-24,2025-09-15
9824033,1900021,SAO GRACE,Paris,Standard,Priority I,2025-05-24,2025-09-15
9824033,1900021,SAO GRACE,Tokyo,Standard,Priority I,2025-05-24,2025-09-15
9824045,1900034,SAO HEAVEN,USCG,PSC B,Priority I,2025-04-19,2025-09-15
9824045,1900034,SAO HEAVEN,Paris,Standard,Priority I,2025-04-19,2025-09-15
9824045,1900034,SAO HEAVEN,Tokyo,Standard,Priority I,2025-04-19,2025-09-15
9824057,1900077,SAO INDIGO,USCG,PSC B,Priority I,2025-08-15,2025-09-15
9824057,1900077,SAO INDIGO,Paris,Standard,Priority I,2025-08-15,2025-09-15
9824057,1900077,SAO INDIGO,Tokyo,Standard,No Priority,2025-08-15,2025-09-15
9824069,2000015,SAO JOY,USCG,PSC B,Priority I,2025-03-25,2025-09-15
9824069,2000015,SAO JOY,Paris,Low,No Priority,2025-03-25,2025-09-15
9824069,2000015,SAO JOY,Tokyo,Standard,No Priority,2025-03-25,2025-09-15
9824071,2000022,SAO KAREN,USCG,PSC B,Priority I,2025-04-17,2025-09-15
9824071,2000022,SAO KAREN,Paris,Standard,Priority I,2025-04-17,2025-09-15
9824071,2000022,SAO KAREN,Tokyo,Standard,Priority I,2025-04-17,2025-09-15
9824083,2000062,SAO LOUIS,USCG,PSC B,Priority I,2025-07-15,2025-09-15
9824083,2000062,SAO LOUIS,Paris,Standard,Priority I,2025-07-15,2025-09-15
9824083,2000062,SAO LOUIS,Tokyo,Standard,Priority I,2025-07-15,2025-09-15
9824095,2000082,SAO MASTER,USCG,PSC B,Priority I,2025-07-01,2025-09-15
9824095,2000082,SAO MASTER,Paris,Standard,Priority I,2025-07-01,2025-09-15
9824095,2000082,SAO MASTER,Tokyo,Standard,Priority I,2025-07-01,2025-09-15
9824978,1900002,DUNNII,USCG,PSC B,Priority I,2025-08-29,2025-09-15
9824978,1900002,DUNNII,Paris,Standard,No Priority,2025-08-29,2025-09-15
9824978,1900002,DUNNII,Tokyo,Standard,No Priority,2025-08-29,2025-09-15
9824980,1900005,GRANDIS,USCG,PSC B,Priority I,2025-07-07,2025-09-15
9824980,1900005,GRANDIS,Paris,Standard,No Priority,2025-07-07,2025-09-15
9824980,1900005,GRANDIS,Tokyo,Standard,Priority I,2025-07-07,2025-09-15
9824992,1900031,ROBUSTA,USCG,PSC B,Priority I,2025-07-06,2025-09-15
9824992,1900031,ROBUSTA,Paris,Standard,Priority II,2025-07-06,2025-09-15
9824992,1900031,ROBUSTA,Tokyo,Standard,Priority II,2025-07-06,2025-09-15
9825001,1900050,SALIGNA,USCG,PSC B,Priority I,2024-10-09,2025-09-15
9825001,1900050,SALIGNA,Paris,Standard,No Priority,2024-10-09,2025-09-15
9825001,1900050,SALIGNA,Tokyo,Standard,Priority I,2024-10-09,2025-09-15
9825013,2000002,UROPHYLLA,USCG,PSC B,Priority I,2025-01-04,2025-09-15
9825013,2000002,UROPHYLLA,Paris,Standard,No Priority,2025-01-04,2025-09-15
9825013,2000002,UROPHYLLA,Tokyo,Standard,Priority I,2025-01-04,2025-09-15
9826392,1800056,SUN QUEEN,USCG,PSC B,Priority I,2025-07-10,2025-09-15
9826392,1800056,SUN QUEEN,Paris,Standard,Priority I,2025-07-10,2025-09-15
9826392,1800056,SUN QUEEN,Tokyo,Standard,No Priority,2025-07-10,2025-09-15
9826433,1800111,WOOYANG ARES,USCG,PSC B,Priority I,2025-02-10,2025-09-15
9826433,1800111,WOOYANG ARES,Paris,Standard,Priority I,2025-02-10,2025-09-15
9826433,1800111,WOOYANG ARES,Tokyo,Standard,No Priority,2025-02-10,2025-09-15
9828209,1700094,H. NAKHARACH 26,USCG,PSC B,Priority I,2025-09-16,2025-09-15
9828209,1700094,H. NAKHARACH 26,Paris,Standard,Priority I,2025-09-16,2025-09-15
